age,numberChildren,incomeRating,wealthRating,mailOrderPurchases,totalGivingAmount,numberGifts,smallestGiftAmount,largestGiftAmount,averageGiftAmount,yearsSinceFirstDonation,monthsSinceLastDonation,inHouseDonor,plannedGivingDonor,sweepstakesDonor,P3Donor,state,urbanicity,socioEconomicStatus,isHomeowner,gender,respondedMailing
NA,NA,1,9,0,25,2,10,15,12.5,3,14,FALSE,FALSE,FALSE,FALSE,CA,urban,highest,TRUE,male,FALSE
44,NA,1,5,0,37,3,10,15,12.333333333,3,14,FALSE,FALSE,FALSE,FALSE,MI,suburb,average,NA,male,FALSE
46,1,7,NA,0,100,4,15,45,25,9,14,FALSE,FALSE,FALSE,FALSE,IL,rural,average,NA,female,FALSE
62,NA,4,4,6,81,10,5,15,8.1,11,14,FALSE,FALSE,FALSE,FALSE,FL,suburb,average,TRUE,female,FALSE
NA,NA,NA,NA,0,30,2,15,15,15,2,19,FALSE,FALSE,FALSE,FALSE,NC,city,average,NA,male,FALSE
62,NA,3,8,10,61,15,2,7,4.0666666667,10,11,FALSE,FALSE,FALSE,FALSE,MN,suburb,highest,TRUE,female,TRUE
82,NA,2,3,0,25,1,25,25,25,1,17,FALSE,FALSE,FALSE,FALSE,MI,rural,average,NA,male,FALSE
NA,NA,NA,NA,0,80,3,25,30,26.666666667,3,20,FALSE,FALSE,FALSE,FALSE,FL,town,average,NA,NA,FALSE
74,NA,NA,NA,0,108,13,3,20,8.3076923077,4,21,FALSE,FALSE,FALSE,FALSE,IL,city,highest,NA,female,FALSE
46,1,7,9,3,36,4,5,11,9,2,16,FALSE,FALSE,FALSE,FALSE,MN,town,highest,TRUE,female,FALSE
54,1,7,8,1,107,6,10,30,17.833333333,6,18,FALSE,FALSE,FALSE,FALSE,CA,town,highest,TRUE,male,FALSE
42,1,7,NA,0,50,1,50,50,50,1,14,FALSE,FALSE,FALSE,FALSE,IL,suburb,highest,TRUE,female,FALSE
84,NA,7,9,7,71,8,3,13,8.875,5,14,FALSE,FALSE,FALSE,FALSE,MO,town,highest,TRUE,male,FALSE
49,1,7,8,1,102,12,5,13,8.5,6,14,FALSE,FALSE,FALSE,FALSE,TX,town,highest,TRUE,female,FALSE
38,2,4,6,0,57,7,5,10,8.1428571429,6,15,FALSE,FALSE,FALSE,FALSE,IL,town,average,NA,female,FALSE
NA,NA,NA,NA,0,68,11,2,10,6.1818181818,7,14,FALSE,FALSE,FALSE,FALSE,TX,town,highest,NA,male,TRUE
72,NA,1,2,2,40,2,20,20,20,2,12,FALSE,FALSE,FALSE,FALSE,MO,urban,average,TRUE,male,FALSE
84,NA,4,7,17,40,2,15,25,20,2,21,FALSE,FALSE,FALSE,FALSE,NC,city,average,NA,female,FALSE
69,NA,4,3,3,220,13,5,25,16.923076923,5,15,FALSE,FALSE,FALSE,FALSE,FL,suburb,highest,NA,female,FALSE
NA,NA,NA,NA,0,155,9,5,20,17.222222222,6,14,FALSE,FALSE,FALSE,FALSE,OR,NA,NA,NA,female,FALSE
NA,NA,NA,NA,0,197,16,10,15,12.3125,2,14,FALSE,FALSE,FALSE,TRUE,OR,rural,highest,NA,male,FALSE
69,NA,4,8,1,25,1,25,25,25,2,19,FALSE,FALSE,FALSE,FALSE,TX,suburb,highest,TRUE,male,FALSE
88,NA,5,9,6,291,18,5,30,16.166666667,11,18,FALSE,FALSE,FALSE,FALSE,CA,suburb,highest,NA,female,FALSE
75,NA,6,NA,0,96,8,10,15,12,7,14,FALSE,FALSE,FALSE,FALSE,MN,suburb,average,TRUE,female,FALSE
84,NA,3,4,13,94,10,3,30,9.4,11,16,FALSE,FALSE,FALSE,FALSE,MN,town,average,TRUE,female,FALSE
70,NA,NA,NA,0,252,11,10,50,22.909090909,4,14,FALSE,FALSE,FALSE,FALSE,IL,city,average,NA,female,FALSE
NA,NA,NA,NA,0,108,11,5,14,9.8181818182,10,13,FALSE,FALSE,FALSE,FALSE,MI,urban,highest,NA,NA,FALSE
30,NA,7,9,1,30,2,10,20,15,2,13,FALSE,FALSE,FALSE,FALSE,WA,suburb,highest,TRUE,male,FALSE
44,1,7,9,7,68,4,10,22,17,4,14,FALSE,FALSE,FALSE,FALSE,FL,town,highest,TRUE,male,FALSE
51,NA,5,8,8,338,29,5,15,11.655172414,5,0,FALSE,FALSE,FALSE,TRUE,WI,suburb,average,TRUE,female,FALSE
66,NA,5,9,5,102,21,3,6,4.8571428571,11,12,FALSE,FALSE,FALSE,FALSE,IA,city,highest,TRUE,female,TRUE
72,NA,4,NA,0,123,16,3,10,7.6875,11,22,TRUE,FALSE,FALSE,FALSE,AL,NA,NA,NA,female,FALSE
88,NA,3,NA,0,91,8,5,15,11.375,6,12,FALSE,FALSE,FALSE,FALSE,IN,town,highest,TRUE,male,FALSE
61,NA,NA,NA,0,103,14,3,20,7.3571428571,8,14,FALSE,FALSE,FALSE,FALSE,WA,urban,average,NA,male,FALSE
68,NA,4,NA,0,42,2,20,22,21,2,14,FALSE,FALSE,FALSE,FALSE,TX,city,lowest,TRUE,male,FALSE
83,NA,3,NA,0,216,22,5,16,9.8181818182,9,0,TRUE,FALSE,FALSE,FALSE,IL,rural,average,NA,female,FALSE
45,1,4,1,9,102,7,5,20,14.571428571,11,15,FALSE,FALSE,FALSE,FALSE,NC,city,lowest,TRUE,female,FALSE
44,1,6,NA,0,117,11,5,16,10.636363636,6,17,FALSE,FALSE,FALSE,FALSE,NC,city,average,TRUE,female,FALSE
61,NA,6,3,4,125,12,1,20,10.416666667,10,13,FALSE,FALSE,FALSE,FALSE,FL,suburb,average,TRUE,female,FALSE
40,NA,2,NA,0,49,5,3,18,9.8,4,18,FALSE,FALSE,FALSE,FALSE,IL,town,average,TRUE,male,FALSE
NA,NA,NA,NA,0,96,6,10,32,16,6,13,FALSE,FALSE,FALSE,TRUE,CA,rural,average,NA,female,FALSE
NA,NA,1,NA,0,55,6,5,10,9.1666666667,2,11,FALSE,FALSE,FALSE,FALSE,CA,urban,highest,NA,female,FALSE
62,1,3,NA,0,40,3,10,20,13.333333333,3,14,FALSE,FALSE,FALSE,FALSE,AL,rural,lowest,TRUE,female,FALSE
NA,NA,NA,NA,0,55,5,5,15,11,3,20,FALSE,FALSE,FALSE,FALSE,TX,suburb,average,NA,male,FALSE
48,NA,5,NA,0,35,4,5,20,8.75,3,12,FALSE,FALSE,FALSE,FALSE,IN,rural,average,TRUE,female,FALSE
34,1,4,7,1,23,1,23,23,23,1,12,FALSE,FALSE,FALSE,FALSE,TX,town,average,TRUE,male,FALSE
80,NA,5,NA,0,15,1,15,15,15,2,18,FALSE,FALSE,FALSE,FALSE,GA,rural,average,TRUE,female,FALSE
NA,2,3,NA,0,82,9,5,15,9.1111111111,3,19,FALSE,FALSE,FALSE,FALSE,OK,rural,lowest,TRUE,male,FALSE
36,NA,4,7,3,55,7,3,15,7.8571428571,7,14,FALSE,FALSE,FALSE,FALSE,TX,town,average,TRUE,female,FALSE
50,1,7,2,15,20,1,20,20,20,2,18,FALSE,FALSE,FALSE,FALSE,GA,rural,average,TRUE,male,FALSE
41,2,4,8,2,35,6,3,10,5.8333333333,2,13,FALSE,FALSE,FALSE,FALSE,NC,suburb,average,TRUE,female,FALSE
80,NA,3,6,2,175,11,3,30,15.909090909,5,1,TRUE,FALSE,FALSE,FALSE,FL,city,average,NA,male,FALSE
71,NA,NA,NA,0,102.5,15,3.5,11,6.8333333333,11,11,FALSE,FALSE,FALSE,FALSE,IL,rural,average,NA,NA,FALSE
NA,NA,NA,NA,0,30,1,30,30,30,1,12,FALSE,FALSE,FALSE,FALSE,CA,urban,average,NA,female,FALSE
84,NA,2,NA,0,100,6,10,25,16.666666667,7,14,FALSE,FALSE,FALSE,FALSE,IN,rural,average,NA,male,FALSE
84,NA,2,NA,0,98,28,1,6,3.5,8,17,FALSE,FALSE,FALSE,FALSE,CA,town,average,TRUE,female,FALSE
72,NA,4,7,8,307,16,10,25,19.1875,11,12,FALSE,FALSE,FALSE,FALSE,SC,town,average,TRUE,NA,FALSE
NA,1,7,NA,0,20,1,20,20,20,2,22,FALSE,FALSE,FALSE,FALSE,KY,suburb,highest,NA,female,FALSE
NA,NA,NA,NA,0,30,2,10,20,15,2,17,FALSE,FALSE,FALSE,FALSE,NC,rural,lowest,NA,female,FALSE
80,NA,4,NA,0,129.88,21,2,10,6.1847619048,9,1,TRUE,FALSE,FALSE,FALSE,CA,urban,lowest,TRUE,male,FALSE
54,2,7,9,0,153,14,5,16,10.928571429,11,16,FALSE,FALSE,FALSE,FALSE,MI,city,highest,TRUE,female,FALSE
NA,NA,NA,NA,0,55,2,25,30,27.5,2,14,FALSE,FALSE,FALSE,FALSE,MD,town,average,NA,female,FALSE
72,NA,1,NA,0,103,11,3,12,9.3636363636,9,15,FALSE,FALSE,FALSE,FALSE,IL,suburb,lowest,TRUE,male,FALSE
69,NA,6,NA,0,132,12,5,17,11,7,15,FALSE,FALSE,FALSE,FALSE,CA,suburb,highest,TRUE,female,TRUE
62,NA,3,2,3,128,16,3,15,8,11,12,FALSE,FALSE,FALSE,FALSE,FL,urban,average,TRUE,female,FALSE
47,NA,5,9,12,80,4,9,30,20,3,21,FALSE,FALSE,FALSE,FALSE,WI,suburb,highest,TRUE,male,FALSE
NA,NA,4,3,2,46,5,3,15,9.2,5,21,FALSE,FALSE,FALSE,FALSE,FL,city,average,NA,male,FALSE
54,NA,7,9,0,35,4,5,10,8.75,2,16,FALSE,FALSE,FALSE,FALSE,TX,suburb,highest,TRUE,female,FALSE
66,NA,4,NA,0,15,1,15,15,15,1,16,FALSE,FALSE,FALSE,FALSE,SD,rural,average,NA,male,FALSE
NA,NA,NA,NA,0,67,7,5,15,9.5714285714,9,22,FALSE,FALSE,FALSE,FALSE,CA,urban,average,NA,female,FALSE
33,NA,5,2,6,35,3,10,15,11.666666667,3,11,FALSE,FALSE,FALSE,FALSE,GA,rural,average,NA,female,FALSE
NA,NA,4,6,3,101,9,5,20,11.222222222,6,14,FALSE,FALSE,FALSE,FALSE,CA,urban,highest,TRUE,female,FALSE
63,NA,3,5,1,73,4,10,25,18.25,5,23,FALSE,FALSE,FALSE,FALSE,KY,city,average,TRUE,male,FALSE
64,NA,7,8,1,50,1,50,50,50,1,12,FALSE,FALSE,FALSE,FALSE,FL,city,average,TRUE,female,FALSE
59,1,3,0,26,198,11,5,39,18,6,13,FALSE,FALSE,FALSE,FALSE,TX,city,lowest,TRUE,female,FALSE
NA,NA,NA,NA,0,25,1,25,25,25,1,14,FALSE,FALSE,FALSE,FALSE,NV,city,average,NA,male,FALSE
78,NA,5,NA,0,127,13,5,16,9.7692307692,7,16,FALSE,FALSE,FALSE,FALSE,NC,rural,average,TRUE,female,FALSE
77,NA,1,1,2,31,7,3,7,4.4285714286,2,14,FALSE,FALSE,FALSE,FALSE,KY,city,lowest,TRUE,male,FALSE
73,NA,1,7,10,94,10,5,12,9.4,5,17,FALSE,FALSE,FALSE,FALSE,GA,suburb,average,TRUE,male,TRUE
87,NA,2,3,8,116,18,3,12,6.4444444444,7,14,FALSE,FALSE,FALSE,FALSE,OR,city,average,TRUE,male,FALSE
NA,NA,NA,NA,0,156,23,3,11,6.7826086957,10,15,FALSE,FALSE,FALSE,FALSE,NE,rural,average,NA,female,FALSE
50,NA,3,3,8,74,7,5,15,10.571428571,3,14,FALSE,FALSE,FALSE,FALSE,AZ,town,average,TRUE,female,FALSE
NA,NA,NA,NA,0,153,23,3,17,6.652173913,10,14,FALSE,FALSE,FALSE,FALSE,MO,town,average,NA,male,FALSE
89,NA,5,7,7,125,20,3,10,6.25,9,20,TRUE,FALSE,FALSE,FALSE,FL,city,average,TRUE,female,FALSE
NA,NA,NA,NA,0,20,1,20,20,20,1,12,FALSE,FALSE,FALSE,FALSE,CA,suburb,highest,NA,male,FALSE
83,NA,2,NA,0,275,21,5,20,13.095238095,11,14,TRUE,FALSE,FALSE,FALSE,FL,urban,average,NA,female,FALSE
NA,2,5,NA,0,30,7,3,10,4.2857142857,3,12,FALSE,FALSE,FALSE,FALSE,VA,suburb,highest,NA,female,TRUE
68,NA,1,2,19,296,20,5,25,14.8,9,11,FALSE,FALSE,FALSE,FALSE,CA,urban,lowest,TRUE,female,FALSE
59,NA,3,NA,0,127,13,5,15,9.7692307692,10,11,FALSE,FALSE,FALSE,FALSE,SC,rural,average,NA,male,FALSE
78,NA,1,6,5,82,6,5,25,13.666666667,10,13,FALSE,FALSE,FALSE,FALSE,TX,urban,highest,TRUE,female,FALSE
NA,NA,NA,NA,0,72,3,20,27,24,2,14,FALSE,FALSE,FALSE,FALSE,CA,city,highest,NA,female,FALSE
NA,NA,NA,NA,0,31,7,3,6,4.4285714286,4,13,FALSE,FALSE,FALSE,FALSE,LA,town,lowest,NA,female,FALSE
59,NA,5,5,3,680,18,10,100,37.777777778,11,6,TRUE,FALSE,FALSE,FALSE,FL,suburb,average,TRUE,male,FALSE
NA,NA,5,NA,0,31,3,5,15,10.333333333,2,13,FALSE,FALSE,FALSE,FALSE,ND,rural,lowest,NA,female,FALSE
77,NA,6,9,3,120,5,15,30,24,6,23,FALSE,FALSE,FALSE,FALSE,CA,suburb,highest,TRUE,male,FALSE
86,NA,5,8,13,181,21,5,12,8.619047619,11,23,FALSE,FALSE,FALSE,FALSE,TX,city,highest,NA,NA,FALSE
46,NA,6,5,0,47,3,5,22,15.666666667,2,12,FALSE,FALSE,TRUE,FALSE,TX,rural,average,TRUE,male,FALSE
52,NA,5,3,1,15,1,15,15,15,1,12,FALSE,FALSE,FALSE,FALSE,NC,town,average,TRUE,female,FALSE
51,2,7,NA,0,206,11,3,26,18.727272727,10,16,FALSE,FALSE,FALSE,FALSE,CA,city,highest,TRUE,male,FALSE
61,NA,4,8,2,27,3,5,15,9,3,13,FALSE,FALSE,FALSE,FALSE,NV,suburb,highest,TRUE,female,FALSE
50,NA,6,8,2,25,1,25,25,25,1,12,FALSE,FALSE,FALSE,FALSE,AL,suburb,highest,TRUE,male,TRUE
68,NA,4,5,0,294,18,5,31,16.333333333,11,14,FALSE,FALSE,FALSE,FALSE,LA,rural,average,TRUE,male,FALSE
66,NA,4,9,4,25,3,5,10,8.3333333333,2,12,FALSE,FALSE,FALSE,FALSE,OK,city,highest,TRUE,female,FALSE
76,NA,7,9,1,1367,33,20,80,41.424242424,8,1,TRUE,FALSE,FALSE,FALSE,TX,suburb,highest,TRUE,male,FALSE
69,2,4,2,1,44,4,10,12,11,2,11,FALSE,FALSE,FALSE,FALSE,AK,suburb,average,TRUE,female,FALSE
26,NA,3,8,2,57,6,5,11,9.5,2,14,FALSE,FALSE,FALSE,FALSE,MO,town,average,NA,male,FALSE
NA,NA,3,5,1,69,8,5,15,8.625,6,14,FALSE,FALSE,FALSE,FALSE,AL,rural,average,TRUE,male,FALSE
64,NA,NA,NA,0,91,18,3,7,5.0555555556,7,14,FALSE,FALSE,FALSE,FALSE,FL,city,highest,NA,female,FALSE
76,NA,3,NA,0,30,2,15,15,15,3,20,FALSE,FALSE,FALSE,FALSE,FL,city,lowest,TRUE,male,FALSE
83,NA,4,6,24,158,21,3,12,7.5238095238,11,12,TRUE,FALSE,FALSE,FALSE,CA,city,highest,TRUE,male,FALSE
NA,NA,NA,NA,0,65,2,25,40,32.5,1,16,FALSE,FALSE,FALSE,FALSE,FL,rural,average,NA,female,FALSE
58,NA,3,NA,0,35,3,10,15,11.666666667,2,15,FALSE,FALSE,FALSE,FALSE,FL,town,average,NA,female,TRUE
61,NA,5,2,4,80,11,3,15,7.2727272727,11,14,FALSE,FALSE,FALSE,FALSE,MN,urban,average,TRUE,female,FALSE
71,NA,2,5,1,32,5,5,10,6.4,2,16,FALSE,FALSE,FALSE,FALSE,LA,urban,average,NA,male,FALSE
54,NA,3,NA,0,25,1,25,25,25,1,13,FALSE,FALSE,FALSE,FALSE,KS,city,lowest,TRUE,female,FALSE
73,NA,2,NA,0,61,5,5,20,12.2,3,14,FALSE,FALSE,FALSE,FALSE,FL,town,average,TRUE,female,FALSE
86,NA,5,8,0,146,13,5,20,11.230769231,7,12,FALSE,FALSE,FALSE,FALSE,IL,suburb,highest,TRUE,female,FALSE
39,NA,7,NA,0,204,14,5,21,14.571428571,11,16,FALSE,FALSE,FALSE,FALSE,AZ,suburb,highest,TRUE,female,FALSE
80,NA,7,NA,0,94,4,15,37,23.5,3,10,TRUE,FALSE,FALSE,FALSE,IL,suburb,highest,TRUE,female,FALSE
48,2,4,0,0,50,4,5,30,12.5,3,14,FALSE,FALSE,FALSE,FALSE,IL,city,lowest,TRUE,female,FALSE
NA,NA,3,7,1,131,9,5,20,14.555555556,6,17,FALSE,FALSE,FALSE,FALSE,MI,town,average,TRUE,female,FALSE
73,NA,1,NA,0,53,5,5,21,10.6,4,14,FALSE,FALSE,FALSE,FALSE,CA,urban,highest,NA,female,FALSE
82,NA,7,9,11,73,7,5,15,10.428571429,5,15,TRUE,FALSE,FALSE,FALSE,MI,city,highest,NA,male,FALSE
44,NA,1,5,6,175,4,23,60,43.75,2,14,FALSE,FALSE,FALSE,FALSE,IL,town,average,NA,female,FALSE
75,NA,4,8,14,136,9,5,27,15.111111111,7,11,FALSE,FALSE,FALSE,FALSE,TX,suburb,highest,TRUE,male,FALSE
33,1,6,6,1,48,3,10,22,16,3,19,FALSE,FALSE,FALSE,FALSE,MI,rural,average,TRUE,male,FALSE
40,NA,7,NA,0,240,15,10,20,16,4,12,FALSE,FALSE,FALSE,FALSE,AK,town,average,TRUE,female,FALSE
83,NA,3,NA,0,177,25,5,10,7.08,8,13,TRUE,FALSE,FALSE,FALSE,WA,town,average,TRUE,male,FALSE
92,NA,5,3,1,87,9,5,15,9.6666666667,6,14,FALSE,FALSE,FALSE,FALSE,IL,urban,average,TRUE,female,FALSE
73,1,2,3,6,268,23,1,20,11.652173913,10,13,FALSE,FALSE,FALSE,FALSE,FL,city,lowest,TRUE,female,FALSE
68,NA,1,7,0,105,7,5,32,15,9,14,FALSE,FALSE,FALSE,FALSE,MI,suburb,average,NA,female,FALSE
42,NA,7,NA,0,77,5,10,20,15.4,3,16,FALSE,FALSE,FALSE,FALSE,MO,town,average,TRUE,female,FALSE
68,NA,NA,NA,0,110,9,5,25,12.222222222,11,14,FALSE,FALSE,FALSE,FALSE,IN,rural,average,NA,male,FALSE
68,NA,6,NA,0,102,2,50,52,51,2,14,FALSE,FALSE,FALSE,FALSE,CA,suburb,highest,TRUE,male,FALSE
81,NA,2,5,4,37,7,3,7,5.2857142857,3,15,FALSE,FALSE,FALSE,FALSE,FL,city,average,TRUE,female,FALSE
NA,NA,NA,NA,0,23,3,5,11,7.6666666667,2,13,FALSE,FALSE,FALSE,FALSE,IN,rural,average,NA,male,FALSE
50,NA,4,1,12,30,2,10,20,15,2,13,FALSE,FALSE,FALSE,FALSE,OR,rural,average,NA,female,FALSE
56,NA,2,1,1,86,11,3,11,7.8181818182,6,14,TRUE,FALSE,FALSE,FALSE,TX,urban,lowest,TRUE,female,FALSE
NA,NA,NA,NA,0,35,2,10,25,17.5,2,19,FALSE,FALSE,FALSE,FALSE,CA,suburb,highest,NA,female,FALSE
40,1,5,1,1,101,6,5,29,16.833333333,7,21,FALSE,FALSE,FALSE,FALSE,TX,city,lowest,TRUE,female,FALSE
79,NA,2,6,4,245,10,10,30,24.5,11,15,FALSE,FALSE,FALSE,FALSE,AR,town,average,NA,male,FALSE
37,3,4,5,5,236,19,3,30,12.421052632,11,19,FALSE,FALSE,FALSE,FALSE,NM,city,average,TRUE,male,FALSE
NA,NA,NA,NA,0,43,5,3,13,8.6,6,14,FALSE,FALSE,FALSE,FALSE,FL,rural,lowest,NA,male,FALSE
60,NA,2,1,0,133,16,3,16,8.3125,10,22,FALSE,FALSE,FALSE,FALSE,AL,rural,lowest,NA,male,FALSE
67,NA,5,3,5,47,3,5,22,15.666666667,3,14,FALSE,FALSE,FALSE,FALSE,CA,city,highest,TRUE,female,FALSE
NA,NA,NA,NA,0,151,8,10,25,18.875,3,12,FALSE,FALSE,FALSE,FALSE,MI,town,average,NA,NA,FALSE
68,NA,6,8,2,376,36,5,16,10.444444444,9,12,FALSE,FALSE,FALSE,FALSE,TN,suburb,highest,TRUE,male,FALSE
72,NA,1,NA,0,87,12,4,15,7.25,7,17,FALSE,FALSE,FALSE,FALSE,OK,city,lowest,NA,male,FALSE
68,NA,2,2,1,82.05,19,1,12.05,4.3184210526,11,11,FALSE,FALSE,FALSE,FALSE,MT,city,lowest,TRUE,male,FALSE
NA,NA,NA,NA,0,44,6,5,10,7.3333333333,3,12,FALSE,FALSE,FALSE,FALSE,NC,city,highest,NA,NA,FALSE
70,NA,NA,NA,0,107,9,3,25,11.888888889,9,14,FALSE,FALSE,FALSE,FALSE,SC,city,lowest,NA,male,FALSE
88,NA,1,NA,0,160,19,3,20,8.4210526316,9,14,FALSE,FALSE,FALSE,FALSE,FL,city,highest,NA,female,FALSE
NA,NA,NA,NA,0,15,1,15,15,15,1,16,FALSE,FALSE,FALSE,FALSE,LA,town,average,NA,male,FALSE
NA,NA,2,3,0,23,1,23,23,23,1,13,FALSE,FALSE,FALSE,FALSE,GA,town,average,NA,female,FALSE
NA,NA,NA,NA,0,158,24,5,10,6.5833333333,10,13,FALSE,FALSE,FALSE,FALSE,CA,rural,average,NA,female,FALSE
70,1,4,6,1,25,2,10,15,12.5,2,14,FALSE,FALSE,FALSE,FALSE,GA,city,average,TRUE,male,FALSE
42,NA,7,NA,0,37,3,10,15,12.333333333,2,13,FALSE,FALSE,FALSE,FALSE,MI,city,lowest,NA,female,FALSE
45,2,5,8,2,41,9,3,6,4.5555555556,3,14,FALSE,FALSE,FALSE,FALSE,FL,city,average,NA,female,FALSE
42,NA,4,NA,0,25,1,25,25,25,1,13,FALSE,FALSE,FALSE,FALSE,KY,suburb,average,TRUE,female,FALSE
48,NA,2,NA,0,270,17,10,25,15.882352941,4,4,TRUE,FALSE,FALSE,FALSE,TX,town,average,NA,female,FALSE
46,NA,6,8,0,127,4,25,37,31.75,7,14,FALSE,FALSE,FALSE,FALSE,CA,town,highest,TRUE,female,FALSE
76,NA,1,2,3,79,9,5,18,8.7777777778,7,15,TRUE,FALSE,FALSE,FALSE,MI,rural,average,TRUE,male,FALSE
NA,1,6,6,0,15,1,15,15,15,1,11,FALSE,FALSE,FALSE,FALSE,CA,rural,average,TRUE,female,FALSE
48,NA,1,NA,0,23,1,23,23,23,1,12,FALSE,FALSE,FALSE,FALSE,CA,urban,lowest,NA,female,FALSE
46,NA,NA,NA,0,31,3,5,15,10.333333333,3,20,FALSE,FALSE,FALSE,FALSE,FL,urban,average,NA,female,FALSE
44,NA,7,7,2,56,4,5,20,14,3,14,FALSE,FALSE,FALSE,FALSE,WA,city,average,TRUE,female,FALSE
76,1,2,NA,0,30,2,10,20,15,2,11,FALSE,FALSE,FALSE,FALSE,MS,town,lowest,TRUE,female,FALSE
45,NA,4,5,1,40,6,3,10,6.6666666667,5,17,FALSE,FALSE,FALSE,FALSE,NC,town,average,TRUE,female,FALSE
NA,NA,NA,NA,0,40,2,20,20,20,1,12,FALSE,FALSE,FALSE,FALSE,AP,urban,lowest,NA,joint,FALSE
NA,NA,NA,NA,0,30,3,5,15,10,2,15,FALSE,FALSE,FALSE,FALSE,KS,rural,lowest,NA,male,FALSE
86,NA,5,5,22,225,3,25,100,75,1,13,FALSE,FALSE,FALSE,FALSE,CA,suburb,average,TRUE,female,FALSE
37,NA,NA,NA,0,115,16,3,11,7.1875,11,15,FALSE,FALSE,FALSE,FALSE,FL,rural,average,NA,female,FALSE
NA,NA,NA,NA,0,50,1,50,50,50,1,13,FALSE,FALSE,FALSE,FALSE,MN,rural,lowest,NA,male,FALSE
50,NA,7,8,0,26,2,6,20,13,1,11,FALSE,FALSE,FALSE,FALSE,CA,urban,highest,TRUE,female,FALSE
76,NA,4,NA,0,25,1,25,25,25,2,20,FALSE,FALSE,FALSE,FALSE,CO,suburb,average,NA,male,FALSE
68,NA,2,NA,0,61,12,3,8,5.0833333333,6,16,FALSE,FALSE,FALSE,FALSE,NC,town,average,NA,female,FALSE
39,3,5,5,9,42,4,5,20,10.5,6,14,FALSE,FALSE,FALSE,FALSE,CA,town,highest,TRUE,female,FALSE
NA,NA,NA,NA,0,73,10,5,10,7.3,3,14,FALSE,FALSE,FALSE,FALSE,MT,rural,average,NA,NA,TRUE
74,NA,5,4,2,30,2,10,20,15,2,11,FALSE,FALSE,FALSE,FALSE,TX,suburb,average,TRUE,female,FALSE
34,NA,5,3,1,20,2,5,15,10,2,13,FALSE,FALSE,FALSE,FALSE,FL,rural,average,TRUE,female,FALSE
57,NA,NA,NA,0,25,1,25,25,25,1,13,FALSE,FALSE,FALSE,FALSE,CA,town,average,NA,male,FALSE
30,NA,4,6,3,25,1,25,25,25,1,16,FALSE,FALSE,FALSE,FALSE,GA,suburb,highest,NA,male,FALSE
58,NA,7,NA,0,75,13,5,7,5.7692307692,7,14,FALSE,FALSE,FALSE,FALSE,MI,urban,lowest,TRUE,female,FALSE
49,NA,1,7,8,190,29,2,10,6.5517241379,11,13,FALSE,FALSE,FALSE,FALSE,LA,urban,average,TRUE,male,FALSE
64,1,7,5,1,35,4,5,10,8.75,2,13,FALSE,FALSE,FALSE,FALSE,WA,town,average,TRUE,male,FALSE
34,NA,6,NA,0,32,3,10,12,10.666666667,2,11,FALSE,FALSE,FALSE,FALSE,GA,town,average,TRUE,male,FALSE
